ObservationURI,ObservationName,SpecimenLabel,SpecimenURI,GeologicUnitName,FeatureOfInterestURI,LithologyTerm,RockName,SamplingFeatureURI,SamplingFeatureName,SampleCollectionDate,LocalityTerms,TectonicProvince,County,State,PLSS_Meridians,"Township",Range,Section_,SectionPart,LatDegree,LongDegree,SRS,LocationUncertaintyStatement,ElevationDatum_m,SampleDepth_m,SampleMeasurementDate,SampleType,SampleMass_kg,OverburdenThickness_m,SampleDensity_g-cc,UncertainDensity,Laboratory,LaboratoryURI,RadioactivityMeasurementDevice,MeasurementProcedure,SampleCureDuration,MeasurementCount,Uranium,Thorium,Potassium,HeatProduction_mWm3,HeatProductionUncertainty,Notes,MetadataURI,Source
204 A,204 A,204A,,,,,Kaolinite,,,,,Interior Lowlands,,MN,,111N,34W,27,CDA,44.53363678,-94.92813849,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.15,30.43,0.00,2.72,0.016 per ?W m-3,,,
JL-1,JL-1,JL-1,,,,,Quartz Monzonite,,,,,Interior Lowlands,,MN,,67N,18W,28,ACC,48.26001994,-92.65965972,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.04,27.73,3.96,2.35,0.016 per ?W m-3,,,
SQ-3A 434-439,SQ-3A 434-439,SQ-3A 434-439,,Unnamed,,,Granitic Gneiss,Core,,,,Interior Lowlands,,MN,,104N,36W,8,CBC,44.11,-94.94,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.01,26.59,3.02,2.18,,,,
27008 378-381,27008 378-381,27008 378-381,,Unnamed,,,Tonalitic Gneiss,,,,,Interior Lowlands,Pope,MN,,122N,40W,5,DAC,45.41,-95.72,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.40,25.36,3.04,2.19,0.016 per ?W m-3,,,
520,520,520,,,,,Granite,,,,,Interior Lowlands,,MN,,166N,34W,18,ADB,49.34749555,-95.08251662,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.60,25.00,2.97,2.74,0.016 per ?W m-3,,,
519,519,519,,,,,Granite,,,,,Interior Lowlands,,MN,,166N,34W,18,BBB,49.33592799,-95.07745797,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,7.81,24.93,2.94,4.09,0.016 per ?W m-3,,,
G10-012,G10-012,G10-012,,St. Cloud Granite,,,Porphyritic Hornblende Granite,,,,,Interior Lowlands,,MN,,37N,31W,35,DAC,45.66,-94.19,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,3.06,23.61,3.07,2.77,,,,
511,511,511,,,,,Granite,,,,,Interior Lowlands,,MN,,136N,33W,1,DAA,46.63021532,-94.79128591,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,4.14,23.38,3.02,3.03,0.016 per ?W m-3,,,
523,523,523,,,,,Granite,,,,,Interior Lowlands,,MN,,168N,35W,30,CAA,49.32761364,-95.1028876,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.05,23.31,3.22,2.23,0.016 per ?W m-3,,,
222,222,222,,,,,Quartz Monzonite,,,,,Interior Lowlands,,MN,,113N,35W,19,BBB,44.57156527,-95.09734897,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,5.34,23.06,2.58,3.28,0.016 per ?W m-3,,,
ART-4A,ART-4A,ART-4A,,,,,Granite,,,,,Interior Lowlands,,MN,,68N,20W,8,BAB,48.38955437,-92.9218448,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.66,22.96,2.89,2.08,0.016 per ?W m-3,,,
LV-12A 81-83,LV-12A 81-83,LV-12A 81-83,,Unnamed,,,Granite,,,,,Interior Lowlands,,MN,,132N,31W,6,DAD,46.28,-94.64,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.99,22.62,3.53,2.20,,,,
527 B,527 B,527B,,,,,Granite,,,,,Interior Lowlands,,MN,,165N,35W,2,AAB,49.28828347,-95.12103151,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.87,22.38,2.33,2.30,0.016 per ?W m-3,,,
533,533,533,,,,,Granite,,,,,Interior Lowlands,,MN,,167N,35W,3,CCB,49.31060797,-95.14989375,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.81,21.92,3.62,2.11,0.016 per ?W m-3,,,
530,530,530,,,,,Granite,,,,,Interior Lowlands,,MN,,167N,35W,3,BBD,49.31307572,-95.13958499,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.13,21.42,3.44,2.40,0.016 per ?W m-3,,,
97-3 365-367,97-3 365-367,97-3 365-367,,Mille Lacs Lake Granite,,,Granite,,,,,Interior Lowlands,Aitkin,MN,,45N,27W,21,BBB,46.36,-93.75,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,3.90,21.09,3.20,2.71,0.016 per ?W m-3,,,
NW-7 397.5-399,NW-7 397.5-399,NW-7 397.5-399,,Unnamed,,,Granodiorite,,,,,Interior Lowlands,,MN,,159N,45W,16,CBD,48.59,-96.47,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.88,20.48,2.87,2.22,,,,
221 B,221 B,221B,,,,,Granite,,,,,Interior Lowlands,,MN,,120N,45W,4,ABA,45.23566066,-96.28832205,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.26,20.21,4.04,1.88,0.016 per ?W m-3,,,
514 A,514 A,514A,,,,,Granite,,,,,Interior Lowlands,,MN,,168N,33W,30,ABA,49.34767457,-94.93908921,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,3.61,19.59,2.69,2.59,0.016 per ?W m-3,,,
526 A,526 A,526A,,,,,Granite,,,,,Interior Lowlands,,MN,,167N,34W,7,ACD,49.30371986,-95.08058785,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.06,19.31,4.15,2.04,0.016 per ?W m-3,,,
LV-4 251.5-253,LV-4 251.5-253,LV-4 251.5-253,,Unnamed,,,Biotitic Leucogranite,,,,,Interior Lowlands,,MN,,141N,28W,36,BBD,46.98,-94.16,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.33,19.19,4.29,2.12,,,,
SQ-7 1097-1102,SQ-7 1097-1102,SQ-7 1097-1102,,Jeffers Block,,,Granitic Gneiss,Core,,,,Interior Lowlands,,MN,,155N,39W,4,DDD,43.85,-95.99,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,5.17,18.81,0.26,2.71,,,,
505,505,505,,,,,Granite,,,,,Interior Lowlands,,MN,,167N,33W,4,BDB,49.31410386,-94.90277933,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,4.07,18.77,2.99,2.68,0.016 per ?W m-3,,,
510,510,510,,,,,Granite,,,,,Interior Lowlands,,MN,,166N,33W,22,BDD,49.32741221,-94.8883314,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.74,18.40,2.91,2.30,0.016 per ?W m-3,,,
509 C,509 C,509C,,,,,Granite,,,,,Interior Lowlands,,MN,,166N,33W,21,BBD,49.32472099,-94.90320233,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.46,18.28,2.50,1.92,0.016 per ?W m-3,,,
SDMIL-B,SDMIL-B,SDMIL-B,,Unnamed,,,Granitic,Outcrop,,,,Interior Lowlands,,MN,,124N,29W,25,DDD,45.21,-96.52,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.23,18.25,3.13,1.65,,,,
KIB-39 166-167,KIB-39 166-167,KIB-39 166-167,,,,,Granite,,,,,Interior Lowlands,,MN,,148N,25W,9,DDD,47.65538073,-93.85921443,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,3.07,18.00,2.88,2.35,0.016 per ?W m-3,,,
509 B,509 B,509B,,,,,Granite,,,,,Interior Lowlands,,MN,,166N,33W,21,BBD,49.32472099,-94.90320233,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.55,17.65,2.51,2.16,0.016 per ?W m-3,,,
ART-3,ART-3,ART-3,,,,,Granite,,,,,Interior Lowlands,,MN,,68N,20W,11,DCA,48.39315149,-92.87035805,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.18,17.58,3.85,1.66,0.016 per ?W m-3,,,
509 A,509 A,509A,,,,,Granite,,,,,Interior Lowlands,,MN,,166N,33W,21,BBD,49.32472099,-94.90320233,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.00,17.45,2.77,1.76,0.016 per ?W m-3,,,
204 B,204 B,204B,,,,,Kaolinite,,,,,Interior Lowlands,,MN,,111N,34W,27,CDA,44.53363678,-94.92813849,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.56,17.32,0.09,1.38,0.016 per ?W m-3,,,
513 A,513 A,513A,,,,,Granite,,,,,Interior Lowlands,,MN,,168N,33W,30,ABB,49.34547463,-94.93777731,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,3.08,17.17,2.42,2.25,0.016 per ?W m-3,,,
27007 309-311.5,27007 309-311.5,27007 309-311.5,,Ortonville Granite,,,Granite,,,,,Interior Lowlands,Big Stone,MN,,121N,44W,36,BBB,45.24,-96.12,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,4.71,16.31,3.23,2.59,0.016 per ?W m-3,,,
HS-1-88 492.3-493.5,HS-1-88 492.3-493.5,HS-1-88 492.3-493.5,,Unnamed,,,Potassium Metasomatized Granite,,,,,Interior Lowlands,,MN,,134N,38W,10,AAA,46.44,-95.45,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,3.04,15.90,3.42,2.25,,,,
AL-2,AL-2,AL-2,,,,,Granite,,,,,Interior Lowlands,,MN,,66N,20W,12,CBD,48.13368619,-92.84960197,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.98,15.52,3.30,1.67,0.016 per ?W m-3,,,
518,518,518,,,,,Granite,,,,,Interior Lowlands,,MN,,168N,34W,31,ADC,49.3341978,-95.08111561,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.42,15.43,2.89,1.74,0.016 per ?W m-3,,,
100 B,100 B,100B,,,,,Granite,,,,,Interior Lowlands,,MN,,63N,19W,29,CBB,47.90752513,-92.79726665,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.28,15.17,5.57,1.94,0.016 per ?W m-3,,,
MEX-0116 2938-2939,MEX-0116 2938-2939,MEX-0116 2938-2939,,Giants Range Batholith,,,Giants Range Batholith,,,,,Interior Lowlands,,MN,,62N,11W,33,BAC,47.81,-91.73,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.67,15.11,2.29,1.46,,,,
515,515,515,,,,,Granite,,,,,Interior Lowlands,,MN,,168N,34W,24,CAA,49.3596993,-94.9732086,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.03,15.00,3.26,1.64,0.016 per ?W m-3,,,
531,531,531,,,,,Granite,,,,,Interior Lowlands,,MN,,167N,35W,3,CBB,49.31184012,-95.14797978,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,3.06,14.97,3.66,2.21,0.016 per ?W m-3,,,
SDMIL-A,SDMIL-A,SDMIL-A,,Unnamed,,,Granitic,Outcrop,,,,Interior Lowlands,,MN,,120N,48W,12,BBC,45.21,-96.52,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.00,14.75,2.96,1.33,,,,
508,508,508,,,,,Granite,,,,,Interior Lowlands,,MN,,166N,33W,21,ABB,49.32873801,-94.90181567,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,5.80,14.67,2.18,2.76,0.016 per ?W m-3,,,
VM-7a,VM-7a,VM-7a,,,,,Granite,Outcrop,,,,Interior Lowlands,,MN,,66N,20W,22,ACC,48.19,-92.89,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,3.20,14.64,4.10,2.26,,,,
EC-2 131.5-132.5,EC-2 131.5-132.5,EC-2 131.5-132.5,,Foley Granite,,,Porphoryritic Granite,,,,,Interior Lowlands,Benton,MN,,38N,30W,31,ADD,45.75,-94.12,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,3.64,14.63,3.43,2.23,0.016 per ?W m-3,,,
MNKBL1,MNKBL1,MNKBL1,,Unnamed,,,Granitic,,,,,Interior Lowlands,,MN,,68N,21W,10,DAB,48.4,-93.02,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.64,14.04,1.89,1.34,,,,
Kab-2,Kab-2,Kab-2,,,,,Granite,,,,,Interior Lowlands,,MN,,66N,17W,3,CDB,48.22628944,-92.51618855,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.22,13.95,3.91,1.94,0.016 per ?W m-3,,,
205,205,205,,,,,Pegmatite,,,,,Interior Lowlands,,MN,,112N,37W,6,AAC,44.68383653,-95.33905621,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.22,13.94,3.26,1.62,0.016 per ?W m-3,,,
27009 220-223,27009 220-223,27009 220-223,,Unnamed,,,Tonalitic Gneiss,,,,,Interior Lowlands,Pope,MN,,124N,39W,21,CCA,45.53,-95.58,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.76,13.46,1.67,1.31,0.016 per ?W m-3,,,
101,101,101,,,,,Monzonite,,,,,Interior Lowlands,,MN,,62N,20W,7,BCC,47.8628382,-92.94328348,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.56,13.34,4.82,2.07,0.016 per ?W m-3,,,
T-1 Benton Co 14.5-17,T-1 Benton Co 14.5-17,T-1 Benton Co 14.5-17,,,,,Granite,,,,,Interior Lowlands,,MN,,38N,28W,23,BDB,45.76958999,-93.7908374,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,3.92,13.32,3.68,2.32,0.016 per ?W m-3,,,
ISITSW-3,ISITSW-3,ISITSW-3,,,,,Syenite,,,,,Interior Lowlands,,MN,,62N,18W,3,BCB,47.87627458,-92.61646909,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.63,13.32,3.68,1.72,0.016 per ?W m-3,,,
516 B,516 B,516B,,,,,Granite,,,,,Interior Lowlands,,MN,,166N,34W,12,DBA,49.36046686,-94.97934069,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.60,13.21,2.53,1.60,0.016 per ?W m-3,,,
507,507,507,,,,,Granite,,,,,Interior Lowlands,,MN,,166N,33W,22,DAA,49.33525774,-94.88825994,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.81,13.07,2.26,1.61,0.016 per ?W m-3,,,
ISITSW-2,ISITSW-2,ISITSW-2,,,,,Syenite,,,,,Interior Lowlands,,MN,,62N,18W,3,BCC,47.87610377,-92.61651048,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.23,12.89,1.92,1.42,0.016 per ?W m-3,,,
532,532,532,,,,,Granite,,,,,Interior Lowlands,,MN,,167N,35W,3,CBC,49.31066927,-95.14805269,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.00,12.82,3.63,1.78,0.016 per ?W m-3,,,
STG-1,STG-1,STG-1,,,,,Biotite Granite,Outcrop,,,,Interior Lowlands,,MN,,36N,15W,36,BCC,47.78,-92.83,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.01,12.73,2.70,1.42,,,,
506,506,506,,,,,Granite,,,,,Interior Lowlands,,MN,,166N,33W,22,BBB,49.32430864,-94.87896418,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.52,12.11,2.59,1.24,0.016 per ?W m-3,,,
 516 A, 516 A,516A,,,,,Granite,,,,,Interior Lowlands,,MN,,166N,34W,12,DBA,49.36046686,-94.97934069,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,5.75,12.05,2.19,2.57,0.016 per ?W m-3,,,
CDC-11 181.5-183,CDC-11 181.5-183,CDC-11 181.5-183,,,,,Leucogranite,,,,,Interior Lowlands,,MN,,59N,8W,28,ABB,47.5683126,-91.34289147,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.76,11.74,3.06,1.84,0.016 per ?W m-3,,,
HM-1,HM-1,HM-1,,,,,Quartz Monzonite,,,,,Interior Lowlands,,MN,,42N,28W,34,ABB,46.07945179,-93.85433116,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,4.54,11.68,2.09,2.21,0.016 per ?W m-3,,,
504,504,504,,,,,Granite,,,,,Interior Lowlands,,MN,,167N,33W,4,DBB,49.31753015,-94.90611763,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,5.00,11.33,2.74,2.37,0.016 per ?W m-3,,,
VM-4b,VM-4b,VM-4b,,,,,Granite,Outcrop,,,,Interior Lowlands,,MN,,66N,17W,28,BAA,48.24,-92.48,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,1.38,11.17,4.36,1.57,,,,
129,129,129,,,,,Diorite,,,,,Interior Lowlands,,MN,,61N,20W,23,AAC,47.75923703,-92.84916318,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.75,11.05,2.47,1.48,0.016 per ?W m-3,,,
NW-2 304.5-306,NW-2 304.5-306,NW-2 304.5-306,,Unnamed,,,Hornblende Biotite Gneiss,,,,,Interior Lowlands,,MN,,163N,42W,8,CBB,48.95,-96.11,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,0.30,10.81,2.07,1.04,,,,
EC-4 78-79,EC-4 78-79,EC-4 78-79,,Pease Pluton,,,Granite,,,,,Interior Lowlands,Morrison,MN,,40N,28W,16,CDD,45.96,-93.85,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.16,10.58,3.35,1.32,0.016 per ?W m-3,,,
CC-14 518-519,CC-14 518-519,CC-14 518-519,,Unnamed,,,Biotitic Gneissic Tonalite,,,,,Interior Lowlands,Todd,MN,,129N,34W,30,CCD,45.95,-95.02,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.32,10.52,1.67,1.25,0.016 per ?W m-3,,,
ART-5,ART-5,ART-5,,,,,Granite,,,,,Interior Lowlands,,MN,,68N,21W,12,CBD,48.39007404,-92.98027865,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,3.60,10.43,2.59,1.92,0.016 per ?W m-3,,,
EC-3 229.5-230.5,EC-3 229.5-230.5,EC-3 229.5-230.5,,Foley Granite,,,Biotite Granite,,,,,Interior Lowlands,Morrison,MN,,38N,29W,5,ABA,45.82,-93.97,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.03,10.18,2.32,1.42,0.016 per ?W m-3,,,
113,113,113,,,,,Granite,,,,,Interior Lowlands,,MN,,159N,27W,3,CCC,48.6137509,-94.10109296,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,0.29,10.08,2.74,1.05,0.016 per ?W m-3,,,
RG-1,RG-1,RG-1,,,,,Syenite,,,,,Interior Lowlands,,MN,,124N,28W,29,BDB,45.52031553,-94.22458025,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,2.72,9.95,2.31,1.63,0.016 per ?W m-3,,,
CDC-19 129.5-131.5,CDC-19 129.5-131.5,CDC-19 129.5-131.5,,,,,Ferrogranite,,,,,Interior Lowlands,,MN,,57N,9W,9,BBD,47.43294053,-91.47352807,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,3.41,9.86,1.45,1.73,0.016 per ?W m-3,,,
103,103,103,,,,,Monzonite,,,,,Interior Lowlands,,MN,,60N,20W,19,BDD,47.66579442,-92.9180697,WGS84,,,,,,,,,,,UND Geothermal laboratory,Germanium gamma ray spectrometer,2 hour  data collection,,,1.51,9.68,2.58,1.33,0.016 per ?W m-3,,,
VM-7b,VM-7b,VM-7b,,,,,Schist,Outcrop,,,,Interior Lowlands,,MN,,68N,20W,31,DDB,48.19,-92.89,WGS84,,,,,,,,,,,NRRI,"FUS-MS for Th and U, FUS-ICP for K2O",,,,2.07,9.67,3.21,1.53,,,,
